id,tgl_distribusi,jumlah,satuan,harga_berlaku,id_unit_ternak,id_jenis_produk,id_mitra_bisnis
0,2024-07-17,16,liter,10341,1,3,1
1,2024-07-18,9,liter,9908,1,3,1
2,2024-07-19,33,kg,101910,1,5,1
3,2024-07-20,30,liter,8886,1,3,1
4,2024-07-21,49,kg,128983,1,5,1
5,2024-07-22,21,kg,121495,1,5,1
6,2024-07-23,20,liter,11331,1,3,1
7,2024-07-24,26,liter,10139,1,3,1
8,2024-07-25,5,kg,118328,1,5,1
9,2024-07-26,44,liter,11553,1,3,1
10,2024-07-27,12,liter,9312,1,3,1
11,2024-07-28,31,liter,9285,1,3,1
12,2024-07-29,5,liter,9565,1,3,1
13,2024-07-30,32,liter,10572,1,3,1
14,2024-07-31,24,liter,11310,1,3,1
15,2024-08-01,14,liter,8908,1,3,1
16,2024-08-02,26,kg,106452,1,5,1
17,2024-08-03,45,liter,10599,1,3,1
18,2024-08-04,7,liter,10973,1,3,1
19,2024-08-05,35,liter,9669,1,3,1
20,2024-08-06,38,kg,122582,1,5,1
21,2024-08-07,28,liter,9423,1,3,1
22,2024-08-08,37,kg,107086,1,5,1
23,2024-08-09,3,liter,8414,1,3,1
24,2024-08-10,6,kg,138294,1,5,1
25,2024-08-11,9,kg,122325,1,5,1
26,2024-08-12,27,liter,8829,1,3,1
27,2024-08-13,49,kg,136496,1,5,1
28,2024-08-14,22,liter,9845,1,3,1
29,2024-08-15,28,kg,121727,1,5,1
30,2024-08-16,40,liter,10494,1,3,1
31,2024-08-17,14,liter,11504,1,3,1
32,2024-08-18,14,kg,118942,1,5,1
33,2024-08-19,13,kg,144362,1,5,1
34,2024-08-20,38,kg,145609,1,5,1
35,2024-08-21,32,kg,121766,1,5,1
36,2024-08-22,46,kg,101838,1,5,1
37,2024-08-23,19,kg,128195,1,5,1
38,2024-08-24,50,kg,149274,1,5,1
39,2024-08-25,6,kg,144854,1,5,1
40,2024-08-26,9,kg,118229,1,5,1
41,2024-08-27,45,liter,8050,1,3,1
42,2024-08-28,44,liter,10233,1,3,1
43,2024-08-29,21,liter,8982,1,3,1
44,2024-08-30,23,kg,106546,1,5,1
45,2024-08-31,39,kg,122633,1,5,1
46,2024-09-01,25,kg,110114,1,5,1
47,2024-09-02,49,liter,10195,1,3,1
48,2024-09-03,8,liter,8310,1,3,1
49,2024-09-04,33,kg,103494,1,5,1
50,2024-09-05,25,kg,124130,1,5,1
51,2024-09-06,29,liter,11257,1,3,1
52,2024-09-07,7,kg,112150,1,5,1
53,2024-09-08,11,kg,149127,1,5,1
54,2024-09-09,32,kg,101172,1,5,1
55,2024-09-10,27,liter,9987,1,3,1
56,2024-09-11,33,kg,133366,1,5,1
57,2024-09-12,20,liter,10128,1,3,1
58,2024-09-13,41,liter,11583,1,3,1
59,2024-09-14,44,liter,10595,1,3,1
60,2024-09-15,11,kg,136168,1,5,1
61,2024-09-16,44,liter,9089,1,3,1
62,2024-09-17,9,liter,9295,1,3,1
63,2024-09-18,9,liter,11600,1,3,1
64,2024-09-19,13,liter,10370,1,3,1
65,2024-09-20,8,liter,8368,1,3,1
66,2024-09-21,9,kg,139452,1,5,1
67,2024-09-22,50,liter,11010,1,3,1
68,2024-09-23,30,liter,8702,1,3,1
69,2024-09-24,12,kg,127788,1,5,1
70,2024-09-25,48,liter,10053,1,3,1
71,2024-09-26,1,kg,108502,1,5,1
72,2024-09-27,7,liter,10300,1,3,1
73,2024-09-28,19,kg,145983,1,5,1
74,2024-09-29,6,liter,8025,1,3,1
75,2024-09-30,21,liter,10159,1,3,1
76,2024-10-01,39,liter,10995,1,3,1
77,2024-10-02,35,kg,139175,1,5,1
78,2024-10-03,44,liter,11067,1,3,1
79,2024-10-04,44,kg,139183,1,5,1
80,2024-10-05,45,liter,11332,1,3,1
81,2024-10-06,41,kg,127133,1,5,1
82,2024-10-07,2,kg,129734,1,5,1
83,2024-10-08,47,liter,8620,1,3,1
84,2024-10-09,37,kg,119692,1,5,1
85,2024-10-10,23,kg,131750,1,5,1
86,2024-10-11,11,liter,8307,1,3,1
87,2024-10-12,49,kg,116071,1,5,1
88,2024-10-13,5,liter,11330,1,3,1
89,2024-10-14,7,liter,10690,1,3,1
90,2024-10-15,17,kg,147008,1,5,1
91,2024-10-16,37,kg,127126,1,5,1
92,2024-10-17,7,kg,142636,1,5,1
93,2024-10-18,43,liter,11686,1,3,1
94,2024-10-19,32,kg,102875,1,5,1
95,2024-10-20,23,kg,111410,1,5,1
96,2024-10-21,41,kg,135393,1,5,1
97,2024-10-22,16,liter,9301,1,3,1
98,2024-10-23,2,kg,127744,1,5,1
99,2024-10-24,31,liter,8879,1,3,1
100,2024-10-25,8,kg,104016,1,5,1
101,2024-10-26,21,kg,131058,1,5,1
102,2024-10-27,39,liter,11123,1,3,1
103,2024-10-28,1,liter,8151,1,3,1
104,2024-10-29,7,liter,10727,1,3,1
105,2024-10-30,16,liter,9470,1,3,1
106,2024-10-31,9,liter,8447,1,3,1
107,2024-11-01,9,liter,8728,1,3,1
108,2024-11-02,29,liter,11633,1,3,1
109,2024-11-03,31,kg,106785,1,5,1
110,2024-11-04,1,kg,105155,1,5,1
111,2024-11-05,43,kg,122313,1,5,1
112,2024-11-06,31,liter,10135,1,3,1
113,2024-11-07,10,liter,8012,1,3,1
114,2024-11-08,22,liter,8642,1,3,1
115,2024-11-09,25,kg,140895,1,5,1
116,2024-11-10,33,liter,11627,1,3,1
117,2024-11-11,33,kg,107120,1,5,1
118,2024-11-12,37,kg,149553,1,5,1
119,2024-11-13,40,kg,126254,1,5,1
120,2024-11-14,31,kg,115277,1,5,1
121,2024-11-15,49,liter,11829,1,3,1
122,2024-11-16,38,liter,9050,1,3,1
123,2024-11-17,19,kg,104694,1,5,1
124,2024-11-18,17,liter,11233,1,3,1
125,2024-11-19,35,kg,102753,1,5,1
126,2024-11-20,39,kg,131793,1,5,1
127,2024-11-21,45,liter,9135,1,3,1
128,2024-11-22,31,liter,9517,1,3,1
129,2024-11-23,41,liter,11802,1,3,1
130,2024-11-24,48,liter,10322,1,3,1
131,2024-11-25,38,liter,9823,1,3,1
132,2024-11-26,48,liter,8766,1,3,1
133,2024-11-27,1,kg,133359,1,5,1
134,2024-11-28,49,liter,11689,1,3,1
135,2024-11-29,18,liter,11177,1,3,1
136,2024-11-30,6,kg,141180,1,5,1
137,2024-12-01,10,kg,104973,1,5,1
138,2024-12-02,44,kg,128005,1,5,1
139,2024-12-03,28,liter,10847,1,3,1
140,2024-12-04,45,liter,11920,1,3,1
141,2024-12-05,2,kg,141877,1,5,1
142,2024-12-06,17,kg,115718,1,5,1
143,2024-12-07,13,liter,11262,1,3,1
144,2024-12-08,31,liter,8798,1,3,1
145,2024-12-09,37,kg,136342,1,5,1
146,2024-12-10,18,kg,144048,1,5,1
147,2024-12-11,42,liter,9061,1,3,1
148,2024-12-12,12,kg,122696,1,5,1
149,2024-12-13,5,kg,115236,1,5,1
150,2024-12-14,49,kg,103447,1,5,1
151,2024-12-15,46,kg,111027,1,5,1
152,2024-12-16,13,kg,126540,1,5,1
153,2024-12-17,12,kg,129737,1,5,1
154,2024-12-18,24,liter,8761,1,3,1
155,2024-12-19,29,kg,145547,1,5,1
156,2024-12-20,7,liter,10945,1,3,1
157,2024-12-21,16,liter,11917,1,3,1
158,2024-12-22,32,kg,147544,1,5,1
159,2024-12-23,10,kg,107886,1,5,1
160,2024-12-24,19,liter,8048,1,3,1
161,2024-12-25,44,liter,10678,1,3,1
162,2024-12-26,37,kg,100307,1,5,1
163,2024-12-27,2,kg,121950,1,5,1
164,2024-12-28,2,liter,10799,1,3,1
165,2024-12-29,34,kg,134548,1,5,1
166,2024-12-30,4,kg,115698,1,5,1
167,2024-12-31,49,liter,11964,1,3,1
168,2025-01-01,42,kg,145293,1,5,1
169,2025-01-02,25,liter,9210,1,3,1
170,2025-01-03,49,liter,8493,1,3,1
171,2025-01-04,40,kg,110488,1,5,1
172,2025-01-05,13,kg,113761,1,5,1
173,2025-01-06,21,kg,101439,1,5,1
174,2025-01-07,9,liter,9936,1,3,1
175,2025-01-08,38,kg,102357,1,5,1
176,2025-01-09,16,kg,132921,1,5,1
177,2025-01-10,21,kg,132922,1,5,1
178,2025-01-11,1,liter,10245,1,3,1
179,2025-01-12,8,liter,10227,1,3,1
180,2025-01-13,49,liter,9345,1,3,1
181,2025-01-14,7,liter,10857,1,3,1
182,2025-01-15,29,liter,9064,1,3,1
183,2025-01-16,5,liter,9686,1,3,1
184,2025-01-17,13,liter,10105,1,3,1
185,2025-01-18,30,liter,8941,1,3,1
186,2025-01-19,36,liter,11906,1,3,1
187,2025-01-20,5,kg,107369,1,5,1
188,2025-01-21,27,liter,9283,1,3,1
189,2025-01-22,18,liter,11425,1,3,1
190,2025-01-23,32,kg,123838,1,5,1
191,2025-01-24,5,kg,100802,1,5,1
192,2025-01-25,43,kg,145371,1,5,1
193,2025-01-26,14,liter,9356,1,3,1
194,2025-01-27,42,kg,145526,1,5,1
195,2025-01-28,13,liter,8675,1,3,1
196,2025-01-29,47,kg,106122,1,5,1
197,2025-01-30,3,liter,11418,1,3,1
198,2025-01-31,43,kg,126395,1,5,1
199,2025-02-01,32,kg,131829,1,5,1
200,2025-02-02,3,liter,9947,1,3,1
201,2025-02-03,36,kg,137308,1,5,1
202,2025-02-04,1,liter,10912,1,3,1
203,2025-02-05,19,liter,10142,1,3,1
204,2025-02-06,40,liter,11619,1,3,1
205,2025-02-07,31,kg,116825,1,5,1
206,2025-02-08,38,liter,9515,1,3,1
207,2025-02-09,42,kg,111888,1,5,1
208,2025-02-10,50,liter,9912,1,3,1
209,2025-02-11,30,liter,9264,1,3,1
210,2025-02-12,10,liter,11748,1,3,1
211,2025-02-13,33,liter,11710,1,3,1
212,2025-02-14,22,kg,138436,1,5,1
213,2025-02-15,34,kg,107458,1,5,1
214,2025-02-16,2,liter,11091,1,3,1
215,2025-02-17,20,liter,9440,1,3,1
216,2025-02-18,13,kg,130799,1,5,1
217,2025-02-19,35,liter,11921,1,3,1
218,2025-02-20,26,kg,119653,1,5,1
219,2025-02-21,31,liter,8725,1,3,1
220,2025-02-22,9,liter,11435,1,3,1
221,2025-02-23,23,liter,9133,1,3,1
222,2025-02-24,13,liter,9889,1,3,1
223,2025-02-25,31,liter,11178,1,3,1
224,2025-02-26,26,liter,9531,1,3,1
225,2025-02-27,8,kg,148751,1,5,1
226,2025-02-28,32,kg,122170,1,5,1
227,2025-03-01,32,kg,109275,1,5,1
228,2025-03-02,36,kg,117383,1,5,1
229,2025-03-03,36,kg,142870,1,5,1
230,2025-03-04,21,liter,10186,1,3,1
231,2025-03-05,24,liter,9905,1,3,1
232,2025-03-06,20,liter,9940,1,3,1
233,2025-03-07,10,kg,143899,1,5,1
234,2025-03-08,18,liter,8749,1,3,1
235,2025-03-09,40,kg,131945,1,5,1
236,2025-03-10,4,kg,113730,1,5,1
237,2025-03-11,20,kg,110014,1,5,1
238,2025-03-12,39,liter,10298,1,3,1
239,2025-03-13,6,kg,143815,1,5,1
240,2025-03-14,3,liter,8954,1,3,1
241,2025-03-15,10,liter,10213,1,3,1
242,2025-03-16,44,liter,10047,1,3,1
243,2025-03-17,8,liter,8127,1,3,1
244,2025-03-18,14,kg,116487,1,5,1
245,2025-03-19,18,kg,108199,1,5,1
246,2025-03-20,17,liter,8446,1,3,1
247,2025-03-21,26,liter,10946,1,3,1
248,2025-03-22,22,liter,10762,1,3,1
249,2025-03-23,20,kg,139079,1,5,1
250,2025-03-24,43,kg,113191,1,5,1
251,2025-03-25,39,liter,10891,1,3,1
252,2025-03-26,17,kg,110547,1,5,1
253,2025-03-27,25,liter,8120,1,3,1
254,2025-03-28,8,liter,11913,1,3,1
255,2025-03-29,26,liter,11912,1,3,1
256,2025-03-30,41,liter,9528,1,3,1
257,2025-03-31,27,kg,130769,1,5,1
258,2025-04-01,3,liter,10397,1,3,1
259,2025-04-02,13,kg,122816,1,5,1
260,2025-04-03,42,liter,11074,1,3,1
261,2025-04-04,1,kg,102243,1,5,1
262,2025-04-05,19,kg,136826,1,5,1
263,2025-04-06,5,liter,8957,1,3,1
264,2025-04-07,33,liter,10328,1,3,1
265,2025-04-08,39,liter,9090,1,3,1
266,2025-04-09,33,liter,8973,1,3,1
267,2025-04-10,7,liter,8190,1,3,1
268,2025-04-11,2,liter,9392,1,3,1
269,2025-04-12,12,liter,8969,1,3,1
270,2025-04-13,46,kg,111181,1,5,1
271,2025-04-14,23,kg,115488,1,5,1
272,2025-04-15,21,kg,116321,1,5,1
