id,tgl_distribusi,jumlah,satuan,harga_berlaku,id_unit_ternak,id_jenis_produk,id_mitra_bisnis
0,2024-07-17,14,kg,106088,1,4,1
1,2024-07-18,32,ekor,109388,1,2,1
2,2024-07-19,35,kg,102320,1,4,1
3,2024-07-20,37,kg,110027,1,4,1
4,2024-07-21,36,ekor,144207,1,2,1
5,2024-07-22,5,ekor,149512,1,2,1
6,2024-07-23,41,ekor,112011,1,2,1
7,2024-07-24,18,kg,137124,1,4,1
8,2024-07-25,1,kg,100993,1,4,1
9,2024-07-26,48,kg,140671,1,4,1
10,2024-07-27,11,ekor,132606,1,2,1
11,2024-07-28,12,ekor,104782,1,2,1
12,2024-07-29,38,ekor,144880,1,2,1
13,2024-07-30,1,kg,135377,1,4,1
14,2024-07-31,47,kg,147367,1,4,1
15,2024-08-01,9,ekor,119345,1,2,1
16,2024-08-02,10,ekor,115405,1,2,1
17,2024-08-03,38,ekor,128855,1,2,1
18,2024-08-04,47,kg,148447,1,4,1
19,2024-08-05,17,kg,144430,1,4,1
20,2024-08-06,49,kg,102276,1,4,1
21,2024-08-07,14,ekor,112868,1,2,1
22,2024-08-08,6,kg,106247,1,4,1
23,2024-08-09,24,kg,106925,1,4,1
24,2024-08-10,33,kg,144544,1,4,1
25,2024-08-11,12,kg,126697,1,4,1
26,2024-08-12,6,ekor,149795,1,2,1
27,2024-08-13,26,kg,107868,1,4,1
28,2024-08-14,30,kg,100080,1,4,1
29,2024-08-15,22,kg,134466,1,4,1
30,2024-08-16,20,ekor,116801,1,2,1
31,2024-08-17,38,kg,101075,1,4,1
32,2024-08-18,6,kg,101894,1,4,1
33,2024-08-19,9,ekor,107647,1,2,1
34,2024-08-20,10,ekor,136509,1,2,1
35,2024-08-21,25,kg,146773,1,4,1
36,2024-08-22,20,ekor,146512,1,2,1
37,2024-08-23,31,ekor,112082,1,2,1
38,2024-08-24,50,ekor,143276,1,2,1
39,2024-08-25,35,ekor,138048,1,2,1
40,2024-08-26,34,kg,127328,1,4,1
41,2024-08-27,37,kg,117782,1,4,1
42,2024-08-28,37,kg,146010,1,4,1
43,2024-08-29,22,kg,136069,1,4,1
44,2024-08-30,21,kg,112802,1,4,1
45,2024-08-31,35,kg,114977,1,4,1
46,2024-09-01,7,ekor,144346,1,2,1
47,2024-09-02,15,ekor,143838,1,2,1
48,2024-09-03,19,kg,116959,1,4,1
49,2024-09-04,9,kg,133734,1,4,1
50,2024-09-05,37,ekor,131327,1,2,1
51,2024-09-06,48,ekor,112306,1,2,1
52,2024-09-07,22,ekor,119307,1,2,1
53,2024-09-08,16,kg,125647,1,4,1
54,2024-09-09,15,kg,111410,1,4,1
55,2024-09-10,40,ekor,140159,1,2,1
56,2024-09-11,25,ekor,123601,1,2,1
57,2024-09-12,22,ekor,118049,1,2,1
58,2024-09-13,21,kg,139115,1,4,1
59,2024-09-14,46,kg,132669,1,4,1
60,2024-09-15,45,kg,109775,1,4,1
61,2024-09-16,14,kg,101775,1,4,1
62,2024-09-17,45,kg,129226,1,4,1
63,2024-09-18,24,ekor,123289,1,2,1
64,2024-09-19,48,ekor,137073,1,2,1
65,2024-09-20,16,kg,118250,1,4,1
66,2024-09-21,10,kg,125293,1,4,1
67,2024-09-22,17,ekor,105235,1,2,1
68,2024-09-23,17,kg,145465,1,4,1
69,2024-09-24,23,ekor,125965,1,2,1
70,2024-09-25,23,ekor,122672,1,2,1
71,2024-09-26,29,ekor,133807,1,2,1
72,2024-09-27,29,ekor,107941,1,2,1
73,2024-09-28,18,ekor,149095,1,2,1
74,2024-09-29,19,kg,137951,1,4,1
75,2024-09-30,40,kg,144620,1,4,1
76,2024-10-01,49,ekor,102239,1,2,1
77,2024-10-02,29,kg,147575,1,4,1
78,2024-10-03,27,ekor,110779,1,2,1
79,2024-10-04,22,ekor,146475,1,2,1
80,2024-10-05,41,ekor,148925,1,2,1
81,2024-10-06,30,ekor,149707,1,2,1
82,2024-10-07,17,kg,110572,1,4,1
83,2024-10-08,40,kg,103792,1,4,1
84,2024-10-09,5,kg,112964,1,4,1
85,2024-10-10,24,ekor,101607,1,2,1
86,2024-10-11,21,kg,109566,1,4,1
87,2024-10-12,43,ekor,132406,1,2,1
88,2024-10-13,3,ekor,122971,1,2,1
89,2024-10-14,25,ekor,120839,1,2,1
90,2024-10-15,26,kg,132503,1,4,1
91,2024-10-16,44,ekor,149061,1,2,1
92,2024-10-17,19,ekor,147066,1,2,1
93,2024-10-18,13,ekor,143484,1,2,1
94,2024-10-19,49,kg,118955,1,4,1
95,2024-10-20,24,ekor,147193,1,2,1
96,2024-10-21,26,ekor,121049,1,2,1
97,2024-10-22,31,ekor,141041,1,2,1
98,2024-10-23,4,kg,133191,1,4,1
99,2024-10-24,40,kg,124188,1,4,1
100,2024-10-25,41,kg,143972,1,4,1
101,2024-10-26,50,ekor,105972,1,2,1
102,2024-10-27,31,kg,141478,1,4,1
103,2024-10-28,15,kg,140393,1,4,1
104,2024-10-29,5,kg,111045,1,4,1
105,2024-10-30,11,ekor,116943,1,2,1
106,2024-10-31,15,kg,126496,1,4,1
107,2024-11-01,25,kg,100934,1,4,1
108,2024-11-02,3,ekor,137801,1,2,1
109,2024-11-03,38,ekor,138184,1,2,1
110,2024-11-04,21,kg,143715,1,4,1
111,2024-11-05,39,kg,148014,1,4,1
112,2024-11-06,43,ekor,119663,1,2,1
113,2024-11-07,27,kg,111717,1,4,1
114,2024-11-08,20,ekor,124829,1,2,1
115,2024-11-09,26,ekor,104762,1,2,1
116,2024-11-10,29,ekor,113981,1,2,1
117,2024-11-11,35,ekor,145788,1,2,1
118,2024-11-12,34,ekor,129464,1,2,1
119,2024-11-13,48,kg,101610,1,4,1
120,2024-11-14,5,kg,127137,1,4,1
121,2024-11-15,14,kg,116373,1,4,1
122,2024-11-16,13,kg,118074,1,4,1
123,2024-11-17,45,ekor,122743,1,2,1
124,2024-11-18,26,kg,113497,1,4,1
125,2024-11-19,18,ekor,144445,1,2,1
126,2024-11-20,3,kg,112381,1,4,1
127,2024-11-21,12,kg,108774,1,4,1
128,2024-11-22,24,ekor,142265,1,2,1
129,2024-11-23,42,kg,116575,1,4,1
130,2024-11-24,29,kg,134806,1,4,1
131,2024-11-25,40,kg,145969,1,4,1
132,2024-11-26,15,kg,129069,1,4,1
133,2024-11-27,42,kg,107958,1,4,1
134,2024-11-28,29,kg,142213,1,4,1
135,2024-11-29,7,kg,148932,1,4,1
136,2024-11-30,22,ekor,119198,1,2,1
137,2024-12-01,8,kg,138151,1,4,1
138,2024-12-02,44,kg,138407,1,4,1
139,2024-12-03,42,ekor,121750,1,2,1
140,2024-12-04,10,kg,109276,1,4,1
141,2024-12-05,30,ekor,121679,1,2,1
142,2024-12-06,13,kg,142394,1,4,1
143,2024-12-07,18,ekor,117360,1,2,1
144,2024-12-08,40,kg,131769,1,4,1
145,2024-12-09,16,ekor,127108,1,2,1
146,2024-12-10,36,kg,126834,1,4,1
147,2024-12-11,24,kg,117909,1,4,1
148,2024-12-12,49,ekor,140927,1,2,1
149,2024-12-13,9,ekor,123017,1,2,1
150,2024-12-14,44,kg,149087,1,4,1
151,2024-12-15,7,kg,100223,1,4,1
152,2024-12-16,4,ekor,115771,1,2,1
153,2024-12-17,20,ekor,131971,1,2,1
154,2024-12-18,37,kg,131147,1,4,1
155,2024-12-19,13,kg,129930,1,4,1
156,2024-12-20,8,kg,108962,1,4,1
157,2024-12-21,6,kg,111506,1,4,1
158,2024-12-22,22,ekor,123942,1,2,1
159,2024-12-23,1,kg,142032,1,4,1
160,2024-12-24,41,ekor,129912,1,2,1
161,2024-12-25,24,ekor,130943,1,2,1
162,2024-12-26,26,kg,145253,1,4,1
163,2024-12-27,13,kg,112443,1,4,1
164,2024-12-28,19,kg,129532,1,4,1
165,2024-12-29,16,ekor,126780,1,2,1
166,2024-12-30,14,kg,147751,1,4,1
167,2024-12-31,11,kg,137656,1,4,1
168,2025-01-01,48,kg,116558,1,4,1
169,2025-01-02,30,kg,133943,1,4,1
170,2025-01-03,40,kg,141255,1,4,1
171,2025-01-04,8,ekor,100068,1,2,1
172,2025-01-05,42,kg,106109,1,4,1
173,2025-01-06,21,ekor,113027,1,2,1
174,2025-01-07,7,kg,147166,1,4,1
175,2025-01-08,27,ekor,120580,1,2,1
176,2025-01-09,1,kg,115330,1,4,1
177,2025-01-10,32,ekor,134128,1,2,1
178,2025-01-11,10,kg,117345,1,4,1
179,2025-01-12,36,ekor,139076,1,2,1
180,2025-01-13,20,kg,115592,1,4,1
181,2025-01-14,9,ekor,118677,1,2,1
182,2025-01-15,45,kg,133610,1,4,1
183,2025-01-16,29,kg,126661,1,4,1
184,2025-01-17,17,kg,102527,1,4,1
185,2025-01-18,21,kg,119965,1,4,1
186,2025-01-19,40,ekor,145358,1,2,1
187,2025-01-20,9,ekor,104552,1,2,1
188,2025-01-21,31,kg,135603,1,4,1
189,2025-01-22,15,ekor,149057,1,2,1
190,2025-01-23,46,ekor,109090,1,2,1
191,2025-01-24,24,ekor,139514,1,2,1
192,2025-01-25,34,ekor,108856,1,2,1
193,2025-01-26,28,kg,123063,1,4,1
194,2025-01-27,32,kg,110545,1,4,1
195,2025-01-28,12,ekor,147309,1,2,1
196,2025-01-29,24,kg,141400,1,4,1
197,2025-01-30,6,kg,130955,1,4,1
