id,tgl_pencatatan,jml_lahir_pedaging_jantan,jml_lahir_pedaging_betina,jml_lahir_perah_jantan,jml_lahir_perah_betina,jml_mati_pedaging_jantan,jml_mati_pedaging_betina,jml_mati_perah_jantan,jml_mati_perah_betina,jml_mati_pedaging_anaan_jantan,jml_mati_pedaging_anakan_betina,jml_mati_perah_anakan_jantan,jml_mati_perah_anakan_betina,id_peternak
0,2024-07-17,0,13,0,0,0,0,1,0,1,0,0,0,1
1,2024-07-18,0,0,0,0,8,0,36,0,1,0,0,0,1
2,2024-07-19,41,0,0,29,0,0,43,0,1,0,0,0,1
3,2024-07-20,0,0,0,0,0,11,0,25,1,47,0,40,1
4,2024-07-21,41,0,0,0,44,0,0,0,1,0,28,0,1
5,2024-07-22,0,0,0,36,36,0,0,0,1,0,7,0,1
6,2024-07-23,0,0,21,0,0,0,0,44,1,16,0,31,1
7,2024-07-24,35,0,0,32,0,41,0,7,1,0,0,0,1
8,2024-07-25,45,46,31,0,0,0,0,0,1,28,10,0,1
9,2024-07-26,0,42,20,0,0,30,13,27,1,0,0,0,1
10,2024-07-27,20,9,47,39,0,0,0,0,1,18,48,0,1
11,2024-07-28,19,0,8,0,0,4,0,0,1,0,0,0,1
12,2024-07-29,0,0,0,28,33,0,0,0,1,0,0,36,1
13,2024-07-30,0,0,30,49,37,0,5,0,1,48,26,33,1
14,2024-07-31,0,0,0,19,0,42,20,0,1,0,0,0,1
15,2024-08-01,35,0,0,43,28,13,14,13,1,0,23,0,1
16,2024-08-02,34,17,0,0,50,0,0,0,1,5,18,0,1
17,2024-08-03,0,0,0,0,0,0,0,0,1,0,33,9,1
18,2024-08-04,20,18,41,0,36,0,29,0,1,0,0,45,1
19,2024-08-05,0,24,0,0,0,0,0,0,1,0,0,48,1
20,2024-08-06,0,14,0,24,0,26,0,0,1,0,0,0,1
21,2024-08-07,0,0,15,0,48,0,18,0,1,39,0,7,1
22,2024-08-08,3,24,32,0,0,0,23,0,1,3,41,0,1
23,2024-08-09,0,33,0,2,10,0,0,0,1,0,0,0,1
24,2024-08-10,0,0,29,0,0,23,0,0,1,0,33,6,1
25,2024-08-11,0,0,0,0,0,0,0,0,1,8,0,0,1
26,2024-08-12,0,0,0,4,0,28,0,0,1,0,0,48,1
27,2024-08-13,0,0,0,0,0,0,0,0,1,0,0,12,1
28,2024-08-14,0,0,8,43,0,0,0,0,1,0,0,10,1
29,2024-08-15,0,0,0,0,0,0,0,0,1,30,0,0,1
30,2024-08-16,0,0,0,0,5,42,0,35,1,11,0,0,1
31,2024-08-17,0,0,0,47,49,0,0,0,1,0,2,25,1
32,2024-08-18,0,0,47,38,41,0,0,0,1,7,0,36,1
