id,tgl_pencatatan,jenis_mitra_penerima,jml_pedaging_jantan,jml_pedaging_betina,jml_pedaging_anakan_jantan,jml_pedaging_anakan_betina,jml_perah_jantan,jml_perah_betina,jml_perah_anakan_jantan,jml_perah_anakan_betina,id_peternak
0,2024-07-17,6,3,19,34,3,14,13,44,9,1
1,2024-07-18,16,27,20,30,42,13,49,34,50,1
2,2024-07-19,5,8,49,16,36,16,33,6,40,1
3,2024-07-20,4,40,29,19,27,11,48,40,14,1
4,2024-07-21,24,3,1,21,22,20,16,40,16,1
5,2024-07-22,33,14,11,2,41,39,10,37,22,1
6,2024-07-23,22,50,11,13,38,33,42,23,32,1
7,2024-07-24,8,41,11,49,5,42,38,26,32,1
8,2024-07-25,8,33,48,24,3,5,3,43,4,1
9,2024-07-26,10,46,31,25,46,43,7,41,14,1
10,2024-07-27,17,49,16,49,49,33,32,2,6,1
11,2024-07-28,4,21,8,1,16,44,14,29,39,1
12,2024-07-29,45,25,5,41,12,37,12,35,13,1
13,2024-07-30,14,38,47,50,12,33,2,7,3,1
14,2024-07-31,27,20,45,2,50,50,2,15,20,1
15,2024-08-01,12,30,7,26,37,47,4,37,19,1
16,2024-08-02,49,20,11,14,1,26,15,43,17,1
17,2024-08-03,49,19,4,44,46,38,15,29,22,1
18,2024-08-04,32,31,42,42,48,29,42,17,25,1
19,2024-08-05,36,19,26,37,39,38,47,40,4,1
20,2024-08-06,22,8,13,43,18,30,4,3,20,1
21,2024-08-07,16,50,22,37,24,5,41,47,14,1
22,2024-08-08,22,26,42,26,30,30,19,50,24,1
23,2024-08-09,10,1,36,21,13,6,22,7,33,1
24,2024-08-10,46,11,4,10,17,27,5,38,45,1
25,2024-08-11,44,14,19,32,4,21,8,42,50,1
26,2024-08-12,19,31,15,13,18,32,42,32,33,1
27,2024-08-13,4,13,25,15,7,8,18,45,6,1
28,2024-08-14,13,21,46,31,35,38,24,24,2,1
29,2024-08-15,32,50,24,15,42,26,31,16,25,1
30,2024-08-16,34,23,49,42,7,4,21,14,47,1
31,2024-08-17,16,41,32,46,17,40,48,42,40,1
32,2024-08-18,28,6,4,13,50,13,26,47,26,1
33,2024-08-19,23,41,36,48,33,10,14,35,38,1
34,2024-08-20,7,12,33,36,26,50,12,46,16,1
35,2024-08-21,22,30,7,47,25,44,1,22,8,1
36,2024-08-22,15,19,22,23,39,3,11,32,32,1
37,2024-08-23,37,27,23,50,6,17,38,14,40,1
38,2024-08-24,22,18,49,49,3,47,8,34,50,1
39,2024-08-25,42,47,42,48,36,41,39,8,33,1
40,2024-08-26,19,11,31,24,8,33,43,26,26,1
41,2024-08-27,20,50,34,2,11,40,6,26,46,1
42,2024-08-28,17,16,15,37,16,20,28,24,28,1
43,2024-08-29,47,48,36,50,40,18,36,12,22,1
44,2024-08-30,18,21,47,50,42,32,13,42,50,1
45,2024-08-31,50,26,10,49,38,15,27,7,30,1
46,2024-09-01,14,40,32,28,29,11,4,1,30,1
47,2024-09-02,4,36,8,35,19,15,46,14,36,1
48,2024-09-03,1,36,3,29,3,5,37,28,20,1
49,2024-09-04,11,20,49,17,6,31,4,26,19,1
50,2024-09-05,32,43,16,4,39,6,5,25,28,1
51,2024-09-06,36,13,2,36,14,33,36,4,16,1
52,2024-09-07,5,32,21,14,45,25,24,4,4,1
53,2024-09-08,40,10,12,21,17,37,32,28,19,1
54,2024-09-09,38,9,1,7,28,42,3,46,3,1
55,2024-09-10,11,21,14,28,39,1,21,28,36,1
56,2024-09-11,14,16,38,26,24,22,30,15,35,1
57,2024-09-12,24,36,13,13,17,8,19,35,5,1
58,2024-09-13,10,17,49,20,47,21,31,9,18,1
59,2024-09-14,21,16,27,23,9,46,35,5,25,1
60,2024-09-15,50,15,14,47,17,47,6,40,6,1
61,2024-09-16,16,50,37,9,49,6,16,36,22,1
62,2024-09-17,22,8,50,36,42,8,23,23,43,1
63,2024-09-18,50,25,43,10,38,3,35,44,14,1
64,2024-09-19,40,50,10,44,28,22,7,17,39,1
65,2024-09-20,27,4,46,43,47,44,31,23,23,1
66,2024-09-21,28,8,7,10,21,28,28,38,45,1
67,2024-09-22,21,12,41,18,36,25,25,7,21,1
68,2024-09-23,15,32,29,50,7,36,33,16,22,1
69,2024-09-24,43,13,17,38,36,19,36,48,7,1
70,2024-09-25,3,36,27,46,7,38,25,6,42,1
71,2024-09-26,35,44,17,48,12,6,44,17,20,1
72,2024-09-27,3,37,49,29,15,48,1,48,36,1
73,2024-09-28,23,15,19,37,49,20,48,49,19,1
74,2024-09-29,46,22,9,10,28,16,50,26,8,1
75,2024-09-30,24,49,28,37,12,21,21,15,32,1
76,2024-10-01,49,5,33,29,17,44,12,39,2,1
77,2024-10-02,3,32,11,25,41,40,28,40,48,1
78,2024-10-03,40,2,31,34,19,36,34,21,32,1
79,2024-10-04,32,40,27,12,34,29,40,47,1,1
80,2024-10-05,36,21,22,38,4,45,39,4,23,1
81,2024-10-06,37,35,13,40,25,27,21,27,17,1
82,2024-10-07,28,33,48,28,1,38,3,1,4,1
83,2024-10-08,44,4,42,44,45,24,27,16,26,1
84,2024-10-09,46,32,1,26,13,28,14,38,50,1
85,2024-10-10,15,35,45,27,34,40,27,32,41,1
86,2024-10-11,34,27,1,49,46,30,33,9,37,1
87,2024-10-12,1,40,6,9,42,26,19,49,19,1
88,2024-10-13,2,34,33,15,13,4,15,32,43,1
89,2024-10-14,40,3,22,41,45,7,10,47,17,1
90,2024-10-15,28,30,11,16,50,9,50,41,3,1
91,2024-10-16,31,17,11,11,10,38,46,24,11,1
92,2024-10-17,16,36,23,37,49,21,50,39,49,1
93,2024-10-18,15,12,23,25,50,37,42,4,18,1
94,2024-10-19,8,34,47,37,37,14,27,39,47,1
95,2024-10-20,2,1,19,11,29,4,7,8,22,1
96,2024-10-21,29,49,23,50,29,9,12,32,33,1
97,2024-10-22,41,45,11,42,46,1,49,31,29,1
98,2024-10-23,30,28,2,7,33,19,1,16,31,1
99,2024-10-24,17,6,21,8,31,12,22,44,28,1
100,2024-10-25,27,41,50,46,30,9,19,50,36,1
101,2024-10-26,9,35,46,17,4,37,33,10,50,1
102,2024-10-27,15,32,1,21,32,29,2,14,38,1
103,2024-10-28,19,4,6,30,1,39,49,18,29,1
104,2024-10-29,49,7,21,3,36,1,39,46,40,1
105,2024-10-30,1,31,2,37,17,40,20,43,2,1
106,2024-10-31,37,45,23,29,41,9,22,33,1,1
107,2024-11-01,6,41,2,38,13,38,30,4,13,1
108,2024-11-02,24,48,6,31,2,38,3,24,18,1
109,2024-11-03,26,14,38,3,12,45,14,42,5,1
110,2024-11-04,22,47,48,45,49,12,10,26,22,1
111,2024-11-05,29,45,42,41,15,37,2,15,32,1
112,2024-11-06,45,38,45,38,32,18,4,1,36,1
113,2024-11-07,47,40,6,8,39,24,11,20,7,1
114,2024-11-08,19,25,22,35,47,14,16,20,30,1
115,2024-11-09,48,12,42,32,7,16,40,35,37,1
116,2024-11-10,26,2,18,23,41,35,32,10,24,1
117,2024-11-11,43,20,7,30,21,17,36,40,23,1
118,2024-11-12,35,2,46,4,27,14,36,1,13,1
119,2024-11-13,33,29,50,9,29,10,42,3,33,1
120,2024-11-14,48,32,26,4,29,1,50,11,49,1
121,2024-11-15,37,17,35,13,3,47,45,20,3,1
122,2024-11-16,20,4,1,14,41,29,38,5,30,1
123,2024-11-17,14,35,28,10,40,48,26,30,31,1
124,2024-11-18,6,14,21,22,25,3,42,19,11,1
125,2024-11-19,40,23,10,43,26,37,25,8,35,1
126,2024-11-20,50,46,36,19,43,9,28,39,15,1
127,2024-11-21,41,34,35,5,44,47,34,8,24,1
128,2024-11-22,23,14,8,15,50,6,30,30,9,1
129,2024-11-23,17,38,39,3,43,12,31,46,28,1
130,2024-11-24,3,28,32,42,10,34,25,22,26,1
131,2024-11-25,34,11,34,26,22,13,50,46,26,1
132,2024-11-26,41,16,38,21,24,47,26,25,42,1
133,2024-11-27,15,34,28,12,7,31,48,26,49,1
134,2024-11-28,27,7,18,30,2,46,22,15,15,1
135,2024-11-29,44,35,26,14,17,39,36,45,49,1
136,2024-11-30,16,11,1,14,35,9,14,30,41,1
137,2024-12-01,5,44,48,35,48,31,33,31,16,1
138,2024-12-02,39,18,39,27,29,2,35,38,15,1
139,2024-12-03,10,1,11,27,36,36,42,8,13,1
140,2024-12-04,23,46,22,40,28,44,5,41,28,1
141,2024-12-05,21,41,9,44,21,42,43,12,25,1
142,2024-12-06,26,9,50,27,2,31,4,34,50,1
143,2024-12-07,45,32,15,1,13,30,40,34,20,1
144,2024-12-08,26,1,11,50,49,26,17,47,39,1
145,2024-12-09,38,43,21,42,48,9,46,17,1,1
146,2024-12-10,15,44,3,4,35,32,11,40,4,1
147,2024-12-11,3,42,43,30,20,38,30,41,18,1
148,2024-12-12,35,25,8,11,23,40,8,23,42,1
149,2024-12-13,24,24,32,36,50,40,47,24,14,1
150,2024-12-14,33,45,15,35,1,38,23,44,29,1
151,2024-12-15,25,10,38,16,39,3,13,5,7,1
152,2024-12-16,11,46,37,38,2,38,42,14,25,1
153,2024-12-17,32,49,25,21,20,25,1,33,22,1
154,2024-12-18,28,38,26,25,36,29,7,11,39,1
155,2024-12-19,14,21,18,39,50,41,44,6,4,1
156,2024-12-20,44,35,21,47,15,2,50,10,50,1
157,2024-12-21,29,12,33,6,16,11,47,35,41,1
158,2024-12-22,26,13,28,22,47,49,14,35,13,1
159,2024-12-23,24,37,8,50,4,31,27,18,7,1
160,2024-12-24,42,8,34,3,23,49,23,40,38,1
161,2024-12-25,23,26,13,38,7,18,10,34,23,1
162,2024-12-26,8,18,2,36,7,38,2,29,26,1
163,2024-12-27,3,35,44,15,43,23,6,9,12,1
164,2024-12-28,21,30,46,3,34,31,8,33,43,1
165,2024-12-29,18,41,33,12,13,29,37,17,27,1
166,2024-12-30,45,26,20,5,23,34,48,24,45,1
167,2024-12-31,20,29,26,46,3,49,49,34,13,1
168,2025-01-01,50,4,19,30,26,45,41,2,6,1
169,2025-01-02,19,43,36,18,36,24,42,10,35,1
170,2025-01-03,27,4,40,37,3,48,10,23,36,1
171,2025-01-04,2,22,6,23,11,46,14,16,17,1
172,2025-01-05,44,13,35,17,28,25,40,6,35,1
173,2025-01-06,50,1,18,47,11,4,30,39,36,1
174,2025-01-07,39,4,39,41,28,45,2,3,31,1
175,2025-01-08,21,48,39,17,21,40,19,43,30,1
176,2025-01-09,39,5,41,9,31,26,29,10,10,1
177,2025-01-10,8,18,31,12,12,49,39,47,22,1
178,2025-01-11,37,45,42,44,30,9,21,8,37,1
179,2025-01-12,29,29,46,33,18,33,38,27,23,1
180,2025-01-13,17,37,20,27,11,20,37,43,26,1
181,2025-01-14,36,7,9,37,17,33,36,15,50,1
182,2025-01-15,45,18,29,3,16,1,5,42,22,1
183,2025-01-16,29,11,12,2,6,32,8,26,43,1
184,2025-01-17,45,18,26,24,23,32,18,34,22,1
185,2025-01-18,30,40,21,2,46,41,18,5,14,1
186,2025-01-19,32,17,37,47,1,7,1,13,34,1
187,2025-01-20,38,44,35,18,44,25,31,20,7,1
188,2025-01-21,27,11,27,38,5,50,50,32,28,1
189,2025-01-22,9,8,45,29,9,20,24,11,36,1
190,2025-01-23,36,13,42,25,39,43,22,18,39,1
191,2025-01-24,19,40,27,32,3,46,25,17,43,1
192,2025-01-25,42,36,29,8,4,3,31,23,29,1
193,2025-01-26,26,28,13,8,39,47,43,25,48,1
194,2025-01-27,36,23,9,5,11,2,21,15,42,1
195,2025-01-28,6,9,49,26,24,18,43,22,36,1
196,2025-01-29,49,5,46,27,48,20,21,5,2,1
197,2025-01-30,46,39,20,20,50,37,23,35,48,1
198,2025-01-31,48,50,8,47,2,27,9,28,27,1
199,2025-02-01,7,36,29,18,46,31,11,42,45,1
200,2025-02-02,5,32,4,29,8,28,48,45,45,1
201,2025-02-03,4,23,22,11,7,21,37,33,45,1
202,2025-02-04,9,7,43,32,39,28,49,31,36,1
203,2025-02-05,43,18,38,46,12,25,37,43,35,1
204,2025-02-06,11,34,41,12,21,1,1,24,30,1
205,2025-02-07,31,25,49,6,24,30,34,40,39,1
206,2025-02-08,50,7,42,18,50,30,33,44,41,1
207,2025-02-09,49,30,31,16,38,8,39,14,9,1
208,2025-02-10,38,2,23,26,38,27,43,39,38,1
