id,tgl_pencatatan,jenis_mitra_pengirim,jml_pedaging_jantan,jml_pedaging_betina,jml_pedaging_anakan_jantan,jml_pedaging_anakan_betina,jml_perah_jantan,jml_perah_betina,jml_perah_anakan_jantan,jml_perah_anakan_betina,id_peternak
0,2024-07-17,49,39,27,31,23,8,14,50,4,1
1,2024-07-18,8,50,40,17,22,45,46,17,14,1
2,2024-07-19,22,42,45,35,50,36,47,31,5,1
3,2024-07-20,3,46,3,26,29,6,8,20,9,1
4,2024-07-21,30,30,26,24,32,30,23,47,15,1
5,2024-07-22,15,23,7,38,48,11,33,12,13,1
6,2024-07-23,13,9,18,28,42,40,31,34,35,1
7,2024-07-24,15,33,15,1,19,50,22,21,2,1
8,2024-07-25,41,34,3,14,35,33,6,8,48,1
9,2024-07-26,19,19,7,17,36,43,28,48,43,1
10,2024-07-27,43,12,40,7,21,33,24,41,22,1
11,2024-07-28,17,17,20,11,33,22,10,39,33,1
12,2024-07-29,10,12,23,16,23,23,3,17,17,1
13,2024-07-30,49,43,16,48,14,23,1,39,25,1
14,2024-07-31,50,45,10,49,26,40,33,27,14,1
15,2024-08-01,27,19,16,17,21,41,14,30,36,1
16,2024-08-02,41,23,31,22,4,50,47,19,27,1
17,2024-08-03,30,5,27,32,31,6,23,45,8,1
18,2024-08-04,2,35,5,35,25,1,45,11,15,1
19,2024-08-05,42,45,41,36,13,31,22,44,32,1
20,2024-08-06,37,21,24,17,45,11,23,19,31,1
21,2024-08-07,18,46,38,23,36,16,11,42,2,1
22,2024-08-08,36,24,28,23,31,17,43,28,13,1
23,2024-08-09,34,48,41,6,1,1,16,37,19,1
24,2024-08-10,13,36,15,8,21,47,39,48,26,1
25,2024-08-11,38,32,35,28,6,7,31,43,39,1
26,2024-08-12,8,21,32,45,44,29,9,33,8,1
27,2024-08-13,29,36,18,41,17,3,27,30,29,1
28,2024-08-14,21,20,18,38,29,1,11,32,6,1
29,2024-08-15,36,17,24,19,31,29,2,44,26,1
30,2024-08-16,33,7,5,27,50,38,44,33,37,1
31,2024-08-17,5,44,26,33,3,29,5,29,42,1
32,2024-08-18,38,32,40,8,34,24,46,39,2,1
33,2024-08-19,25,35,18,11,15,24,16,44,27,1
34,2024-08-20,50,29,46,15,28,26,11,38,23,1
35,2024-08-21,11,31,10,20,39,28,21,28,22,1
36,2024-08-22,11,10,28,7,40,45,33,37,43,1
37,2024-08-23,14,34,20,10,7,43,1,35,42,1
38,2024-08-24,44,5,8,4,19,8,28,47,12,1
39,2024-08-25,42,27,4,13,24,26,38,42,25,1
40,2024-08-26,31,22,11,15,46,44,38,47,19,1
41,2024-08-27,37,35,38,42,21,32,28,46,23,1
42,2024-08-28,24,38,18,43,50,45,8,8,11,1
43,2024-08-29,9,33,8,6,30,6,16,40,19,1
44,2024-08-30,24,9,13,26,3,3,46,6,11,1
45,2024-08-31,15,29,6,34,47,36,2,16,47,1
46,2024-09-01,17,50,17,50,8,38,44,46,45,1
47,2024-09-02,12,23,23,37,27,46,46,47,2,1
48,2024-09-03,16,11,5,10,18,47,6,20,18,1
49,2024-09-04,49,48,11,50,19,42,6,28,19,1
50,2024-09-05,46,39,3,5,11,23,41,16,25,1
51,2024-09-06,26,16,3,24,10,14,8,41,31,1
52,2024-09-07,10,12,33,16,47,16,5,30,50,1
53,2024-09-08,30,41,7,21,13,49,42,22,33,1
54,2024-09-09,26,9,33,14,41,37,24,20,40,1
55,2024-09-10,11,46,20,41,21,35,12,6,4,1
56,2024-09-11,23,45,26,49,4,3,36,13,4,1
57,2024-09-12,34,30,38,39,42,16,28,43,38,1
58,2024-09-13,44,36,20,34,21,15,7,48,23,1
59,2024-09-14,44,21,17,14,48,17,40,3,14,1
60,2024-09-15,20,35,4,35,26,35,26,50,49,1
61,2024-09-16,19,45,49,5,20,49,22,18,2,1
62,2024-09-17,10,25,26,14,43,47,49,45,19,1
63,2024-09-18,27,16,13,2,46,29,2,5,40,1
64,2024-09-19,46,1,38,17,19,40,9,20,10,1
65,2024-09-20,34,24,16,33,7,26,22,31,31,1
66,2024-09-21,17,7,38,47,8,33,39,24,47,1
67,2024-09-22,20,21,6,31,47,37,36,34,8,1
68,2024-09-23,36,19,43,2,41,8,47,16,45,1
69,2024-09-24,12,35,31,37,5,34,36,6,1,1
70,2024-09-25,19,8,23,6,16,45,32,46,7,1
71,2024-09-26,12,13,10,14,13,22,24,6,19,1
72,2024-09-27,49,33,9,48,27,45,29,26,30,1
73,2024-09-28,10,29,21,28,2,43,46,12,16,1
74,2024-09-29,44,3,26,40,44,43,45,16,20,1
75,2024-09-30,38,9,50,37,45,6,16,7,29,1
76,2024-10-01,10,38,17,31,29,31,24,47,24,1
77,2024-10-02,23,11,7,15,17,9,20,20,38,1
78,2024-10-03,23,2,11,14,4,45,21,9,44,1
79,2024-10-04,18,46,28,4,21,29,21,39,35,1
80,2024-10-05,36,28,38,49,19,38,34,5,31,1
81,2024-10-06,11,10,9,45,4,14,28,11,49,1
82,2024-10-07,46,43,46,10,37,20,47,8,48,1
83,2024-10-08,43,30,38,19,39,49,10,25,22,1
