id,tgl_produksi,jumlah,satuan,sumber_pasokan,id_unit_ternak,id_jenis_produk
0,2024-07-17,25,liter,Pengepul,1,3
1,2024-07-18,42,liter,Peternakan Lain,1,3
2,2024-07-19,48,liter,Peternakan Sendiri,1,3
3,2024-07-20,36,liter,Peternakan Lain,1,3
4,2024-07-21,42,liter,Pengepul,1,3
5,2024-07-22,20,liter,Peternakan Lain,1,3
6,2024-07-23,17,liter,Pengepul,1,3
7,2024-07-24,27,liter,Pengepul,1,3
8,2024-07-25,49,liter,Peternakan Sendiri,1,3
9,2024-07-26,3,liter,Peternakan Lain,1,3
10,2024-07-27,7,liter,Peternakan Lain,1,3
11,2024-07-28,25,liter,Peternakan Sendiri,1,3
12,2024-07-29,27,liter,Pengepul,1,3
13,2024-07-30,48,liter,Peternakan Sendiri,1,3
14,2024-07-31,37,liter,Peternakan Sendiri,1,3
15,2024-08-01,28,liter,Pengepul,1,3
16,2024-08-02,7,liter,Peternakan Lain,1,3
17,2024-08-03,2,liter,Peternakan Lain,1,3
18,2024-08-04,38,liter,Pengepul,1,3
19,2024-08-05,4,liter,Peternakan Sendiri,1,3
20,2024-08-06,24,liter,Pengepul,1,3
21,2024-08-07,38,liter,Pengepul,1,3
22,2024-08-08,43,liter,Peternakan Sendiri,1,3
23,2024-08-09,39,liter,Peternakan Sendiri,1,3
24,2024-08-10,49,liter,Pengepul,1,3
25,2024-08-11,47,liter,Peternakan Lain,1,3
26,2024-08-12,40,liter,Peternakan Sendiri,1,3
27,2024-08-13,21,liter,Pengepul,1,3
28,2024-08-14,47,liter,Peternakan Lain,1,3
29,2024-08-15,46,liter,Peternakan Lain,1,3
30,2024-08-16,44,liter,Peternakan Sendiri,1,3
31,2024-08-17,49,liter,Peternakan Lain,1,3
32,2024-08-18,24,liter,Peternakan Sendiri,1,3
33,2024-08-19,34,liter,Peternakan Lain,1,3
34,2024-08-20,7,liter,Pengepul,1,3
35,2024-08-21,24,liter,Pengepul,1,3
36,2024-08-22,48,liter,Pengepul,1,3
37,2024-08-23,32,liter,Peternakan Lain,1,3
38,2024-08-24,47,liter,Peternakan Lain,1,3
39,2024-08-25,19,liter,Peternakan Lain,1,3
40,2024-08-26,31,liter,Peternakan Lain,1,3
41,2024-08-27,40,liter,Pengepul,1,3
42,2024-08-28,36,liter,Peternakan Lain,1,3
43,2024-08-29,49,liter,Peternakan Sendiri,1,3
44,2024-08-30,6,liter,Peternakan Lain,1,3
45,2024-08-31,8,liter,Peternakan Lain,1,3
46,2024-09-01,26,liter,Peternakan Lain,1,3
47,2024-09-02,9,liter,Peternakan Sendiri,1,3
