id,tgl_produksi,jumlah,satuan,sumber_pasokan,id_unit_ternak,id_jenis_produk
0,2024-07-17,30,ekor,Pengepul,1,5
1,2024-07-18,15,kg,Peternakan Sendiri,1,5
2,2024-07-19,18,ekor,Peternakan Lain,1,5
3,2024-07-20,16,ekor,Pengepul,1,5
4,2024-07-21,25,kg,Peternakan Sendiri,1,5
5,2024-07-22,16,ekor,Peternakan Sendiri,1,5
6,2024-07-23,1,ekor,Pengepul,1,5
7,2024-07-24,18,kg,Peternakan Sendiri,1,5
8,2024-07-25,46,kg,Peternakan Lain,1,5
9,2024-07-26,15,ekor,Pengepul,1,5
10,2024-07-27,46,kg,Pengepul,1,5
11,2024-07-28,9,ekor,Peternakan Sendiri,1,5
12,2024-07-29,48,ekor,Peternakan Lain,1,5
13,2024-07-30,23,kg,Peternakan Lain,1,5
14,2024-07-31,47,kg,Peternakan Lain,1,5
15,2024-08-01,28,kg,Peternakan Lain,1,5
16,2024-08-02,22,kg,Pengepul,1,5
17,2024-08-03,45,ekor,Peternakan Sendiri,1,5
18,2024-08-04,40,ekor,Peternakan Sendiri,1,5
19,2024-08-05,46,ekor,Peternakan Sendiri,1,5
20,2024-08-06,27,kg,Pengepul,1,5
21,2024-08-07,6,ekor,Pengepul,1,5
22,2024-08-08,26,kg,Peternakan Sendiri,1,5
23,2024-08-09,26,ekor,Pengepul,1,5
24,2024-08-10,32,ekor,Peternakan Lain,1,5
25,2024-08-11,26,ekor,Peternakan Lain,1,5
26,2024-08-12,43,ekor,Peternakan Lain,1,5
27,2024-08-13,31,ekor,Peternakan Lain,1,5
28,2024-08-14,42,kg,Peternakan Sendiri,1,5
29,2024-08-15,8,ekor,Pengepul,1,5
30,2024-08-16,48,ekor,Peternakan Lain,1,5
31,2024-08-17,32,kg,Peternakan Lain,1,5
32,2024-08-18,5,kg,Pengepul,1,5
33,2024-08-19,23,ekor,Peternakan Sendiri,1,5
34,2024-08-20,48,ekor,Pengepul,1,5
35,2024-08-21,4,ekor,Peternakan Lain,1,5
36,2024-08-22,45,kg,Peternakan Lain,1,5
37,2024-08-23,16,kg,Peternakan Sendiri,1,5
38,2024-08-24,24,kg,Peternakan Lain,1,5
39,2024-08-25,43,kg,Pengepul,1,5
40,2024-08-26,45,kg,Peternakan Sendiri,1,5
41,2024-08-27,30,ekor,Peternakan Lain,1,5
42,2024-08-28,1,ekor,Pengepul,1,5
43,2024-08-29,47,kg,Peternakan Sendiri,1,5
44,2024-08-30,32,ekor,Pengepul,1,5
45,2024-08-31,43,ekor,Pengepul,1,5
46,2024-09-01,29,kg,Peternakan Lain,1,5
47,2024-09-02,38,kg,Peternakan Lain,1,5
48,2024-09-03,24,ekor,Peternakan Sendiri,1,5
49,2024-09-04,39,kg,Pengepul,1,5
50,2024-09-05,39,kg,Peternakan Lain,1,5
51,2024-09-06,41,kg,Peternakan Sendiri,1,5
52,2024-09-07,12,ekor,Peternakan Lain,1,5
53,2024-09-08,15,ekor,Peternakan Sendiri,1,5
54,2024-09-09,38,kg,Peternakan Lain,1,5
55,2024-09-10,39,ekor,Peternakan Sendiri,1,5
56,2024-09-11,33,ekor,Peternakan Sendiri,1,5
57,2024-09-12,50,ekor,Pengepul,1,5
58,2024-09-13,41,ekor,Peternakan Lain,1,5
59,2024-09-14,21,kg,Peternakan Lain,1,5
60,2024-09-15,22,ekor,Peternakan Lain,1,5
61,2024-09-16,10,kg,Peternakan Sendiri,1,5
62,2024-09-17,33,ekor,Peternakan Lain,1,5
63,2024-09-18,44,kg,Pengepul,1,5
64,2024-09-19,24,kg,Pengepul,1,5
65,2024-09-20,9,ekor,Pengepul,1,5
66,2024-09-21,23,kg,Peternakan Lain,1,5
67,2024-09-22,48,kg,Peternakan Sendiri,1,5
68,2024-09-23,8,kg,Pengepul,1,5
69,2024-09-24,11,ekor,Peternakan Sendiri,1,5
70,2024-09-25,1,kg,Peternakan Sendiri,1,5
71,2024-09-26,48,ekor,Peternakan Lain,1,5
72,2024-09-27,10,kg,Peternakan Lain,1,5
73,2024-09-28,24,kg,Peternakan Sendiri,1,5
74,2024-09-29,3,ekor,Peternakan Sendiri,1,5
75,2024-09-30,13,kg,Peternakan Lain,1,5
76,2024-10-01,13,kg,Peternakan Lain,1,5
77,2024-10-02,6,ekor,Peternakan Sendiri,1,5
78,2024-10-03,44,kg,Peternakan Sendiri,1,5
79,2024-10-04,29,kg,Peternakan Sendiri,1,5
80,2024-10-05,49,kg,Peternakan Sendiri,1,5
81,2024-10-06,22,kg,Peternakan Lain,1,5
82,2024-10-07,32,ekor,Peternakan Lain,1,5
83,2024-10-08,50,ekor,Pengepul,1,5
84,2024-10-09,13,ekor,Peternakan Lain,1,5
85,2024-10-10,45,kg,Pengepul,1,5
86,2024-10-11,21,ekor,Peternakan Lain,1,5
87,2024-10-12,26,ekor,Pengepul,1,5
88,2024-10-13,19,ekor,Peternakan Lain,1,5
89,2024-10-14,12,ekor,Pengepul,1,5
90,2024-10-15,14,ekor,Pengepul,1,5
91,2024-10-16,24,kg,Pengepul,1,5
92,2024-10-17,13,kg,Peternakan Sendiri,1,5
93,2024-10-18,10,ekor,Peternakan Lain,1,5
94,2024-10-19,16,kg,Peternakan Lain,1,5
95,2024-10-20,3,ekor,Pengepul,1,5
96,2024-10-21,12,ekor,Peternakan Lain,1,5
97,2024-10-22,50,ekor,Peternakan Lain,1,5
98,2024-10-23,39,ekor,Peternakan Lain,1,5
99,2024-10-24,42,kg,Pengepul,1,5
100,2024-10-25,3,kg,Pengepul,1,5
101,2024-10-26,34,ekor,Peternakan Lain,1,5
102,2024-10-27,38,kg,Pengepul,1,5
103,2024-10-28,48,kg,Peternakan Sendiri,1,5
104,2024-10-29,49,kg,Pengepul,1,5
105,2024-10-30,39,ekor,Pengepul,1,5
106,2024-10-31,12,ekor,Pengepul,1,5
107,2024-11-01,31,kg,Pengepul,1,5
108,2024-11-02,28,ekor,Peternakan Sendiri,1,5
109,2024-11-03,32,kg,Pengepul,1,5
110,2024-11-04,46,ekor,Peternakan Sendiri,1,5
111,2024-11-05,13,ekor,Pengepul,1,5
112,2024-11-06,30,ekor,Peternakan Lain,1,5
113,2024-11-07,11,kg,Peternakan Lain,1,5
114,2024-11-08,4,ekor,Pengepul,1,5
115,2024-11-09,46,ekor,Peternakan Lain,1,5
116,2024-11-10,36,kg,Peternakan Sendiri,1,5
117,2024-11-11,49,ekor,Peternakan Lain,1,5
118,2024-11-12,46,kg,Peternakan Lain,1,5
119,2024-11-13,6,kg,Pengepul,1,5
120,2024-11-14,15,ekor,Peternakan Sendiri,1,5
121,2024-11-15,1,ekor,Peternakan Lain,1,5
122,2024-11-16,1,kg,Peternakan Lain,1,5
123,2024-11-17,23,ekor,Peternakan Lain,1,5
124,2024-11-18,10,kg,Peternakan Lain,1,5
125,2024-11-19,44,kg,Peternakan Sendiri,1,5
126,2024-11-20,29,kg,Pengepul,1,5
127,2024-11-21,36,kg,Peternakan Lain,1,5
128,2024-11-22,8,ekor,Peternakan Lain,1,5
129,2024-11-23,45,ekor,Peternakan Sendiri,1,5
130,2024-11-24,19,ekor,Pengepul,1,5
131,2024-11-25,32,kg,Peternakan Lain,1,5
132,2024-11-26,41,ekor,Peternakan Lain,1,5
133,2024-11-27,4,ekor,Pengepul,1,5
134,2024-11-28,32,ekor,Peternakan Lain,1,5
135,2024-11-29,31,ekor,Peternakan Lain,1,5
136,2024-11-30,8,kg,Peternakan Lain,1,5
137,2024-12-01,25,kg,Peternakan Lain,1,5
138,2024-12-02,40,kg,Pengepul,1,5
139,2024-12-03,5,kg,Peternakan Lain,1,5
140,2024-12-04,4,ekor,Pengepul,1,5
141,2024-12-05,30,ekor,Pengepul,1,5
142,2024-12-06,36,kg,Peternakan Lain,1,5
143,2024-12-07,33,kg,Peternakan Lain,1,5
144,2024-12-08,43,ekor,Pengepul,1,5
145,2024-12-09,11,ekor,Pengepul,1,5
146,2024-12-10,14,ekor,Pengepul,1,5
147,2024-12-11,19,ekor,Peternakan Lain,1,5
148,2024-12-12,41,ekor,Peternakan Sendiri,1,5
149,2024-12-13,44,kg,Pengepul,1,5
150,2024-12-14,38,kg,Pengepul,1,5
151,2024-12-15,31,kg,Peternakan Sendiri,1,5
152,2024-12-16,15,kg,Pengepul,1,5
153,2024-12-17,48,kg,Peternakan Sendiri,1,5
154,2024-12-18,8,kg,Peternakan Lain,1,5
