id_waktu,id_lokasi,id_unit_peternakan,date,jumlah_produksi
9076,46315,10,2023-12-29,18.35
9296,46315,10,2024-07-28,19.3
8988,46315,10,2023-10-04,18.34
8911,46315,10,2023-07-22,17.86
8895,46315,10,2023-07-06,19.18
8865,46315,10,2023-06-07,19.55
8997,46315,10,2023-10-13,15.5
9314,46315,10,2024-08-14,14.0
8725,46315,10,2023-01-23,17.86
8912,46315,10,2023-07-23,17.88
8738,46315,10,2023-02-04,15.49
8745,46315,10,2023-02-11,16.28
8634,46315,10,2022-10-28,17.1
8729,46315,10,2023-01-27,17.45
9127,46315,10,2024-02-15,19.53
8942,46315,10,2023-08-21,14.45
9318,46315,10,2024-08-18,15.0
8633,46315,10,2022-10-27,10.0
8777,46315,10,2023-03-14,18.4
8850,46315,10,2023-05-24,14.81
9150,46315,10,2024-03-08,18.83
8991,46315,10,2023-10-07,16.7
8618,46315,10,2022-10-12,19.96
8767,46315,10,2023-03-04,16.2
8966,46315,10,2023-09-13,17.25
9126,46315,10,2024-02-14,18.19
8951,46315,10,2023-08-30,15.55
8927,46315,10,2023-08-06,14.95
8925,46315,10,2023-08-04,15.58
8721,46315,10,2023-01-19,16.4
9225,46315,10,2024-05-20,20.72
8844,46315,10,2023-05-18,13.48
9117,46315,10,2024-02-05,18.75
8693,46315,10,2022-12-24,18.8
9321,46315,10,2024-08-21,19.0
9051,46315,10,2023-12-04,19.69
8964,46315,10,2023-09-11,18.32
8645,46315,10,2022-11-07,17.08
9121,46315,10,2024-02-09,19.2
8919,46315,10,2023-07-30,17.57
9055,46315,10,2023-12-08,18.47
8868,46315,10,2023-06-10,18.2
8682,46315,10,2022-12-13,18.5
9290,46315,10,2024-07-22,17.33
8962,46315,10,2023-09-09,17.5
8969,46315,10,2023-09-16,18.75
8820,46315,10,2023-04-25,17.65
8663,46315,10,2022-11-25,19.7
9155,46315,10,2024-03-13,18.61
8937,46315,10,2023-08-16,13.6
8943,46315,10,2023-08-22,14.56
8597,46315,10,2022-09-22,19.93
8897,46315,10,2023-07-08,17.74
8918,46315,10,2023-07-29,16.4
9052,46315,10,2023-12-05,18.69
8994,46315,10,2023-10-10,17.19
8708,46315,10,2023-01-06,18.99
8839,46315,10,2023-05-13,15.0
9310,46315,10,2024-08-10,14.2
8695,46315,10,2022-12-26,19.05
9173,46315,10,2024-03-31,16.4
8838,46315,10,2023-05-12,15.5
8938,46315,10,2023-08-17,13.48
8832,46315,10,2023-05-06,15.2
9106,46315,10,2024-01-26,18.3
9122,46315,10,2024-02-10,19.05
9003,46315,10,2023-10-19,17.86
8761,46315,10,2023-02-27,13.82
8658,46315,10,2022-11-20,18.04
8971,46315,10,2023-09-18,18.65
8806,46315,10,2023-04-11,16.94
9007,46315,10,2023-10-23,17.45
8990,46315,10,2023-10-06,16.9
9272,46315,10,2024-07-04,19.0
9249,46315,10,2024-06-12,13.5
9242,46315,10,2024-06-05,18.69
9257,46315,10,2024-06-20,18.83
9140,46315,10,2024-02-28,17.25
8837,46315,10,2023-05-11,16.28
8705,46315,10,2023-01-03,18.58
8607,46315,10,2022-10-01,18.41
9058,46315,10,2023-12-11,11.83
9064,46315,10,2023-12-17,16.7
8952,46315,10,2023-08-31,16.2
8676,46315,10,2022-12-07,17.2
9216,46315,10,2024-05-11,19.35
8930,46315,10,2023-08-09,16.11
8668,46315,10,2022-11-30,14.67
9247,46315,10,2024-06-10,17.4
9285,46315,10,2024-07-17,16.7
8814,46315,10,2023-04-19,12.0
9204,46315,10,2024-04-30,18.91
9087,46315,10,2024-01-07,20.3
9289,46315,10,2024-07-21,19.3
9164,46315,10,2024-03-22,16.9
9160,46315,10,2024-03-18,18.99
8779,46315,10,2023-03-16,17.54
9269,46315,10,2024-07-01,18.78
8652,46315,10,2022-11-14,18.68
9313,46315,10,2024-08-13,14.0
9147,46315,10,2024-03-05,18.8
8816,46315,10,2023-04-21,17.23
9227,46315,10,2024-05-22,20.14
8758,46315,10,2023-02-24,14.81
9202,46315,10,2024-04-28,20.27
9132,46315,10,2024-02-20,19.87
8854,46315,10,2023-05-28,13.75
9327,46315,10,2024-08-27,19.0
8862,46315,10,2023-06-04,18.1
8625,46315,10,2022-10-19,19.69
8882,46315,10,2023-06-24,19.05
8859,46315,10,2023-06-01,16.1
8819,46315,10,2023-04-24,17.7
9262,46315,10,2024-06-25,19.55
9145,46315,10,2024-03-03,18.47
9212,46315,10,2024-05-07,20.14
8794,46315,10,2023-03-31,18.61
