id_waktu,id_lokasi,id_unit_peternakan,date,jumlah_produksi
8591.0,47415.0,18.0,2022-09-16,17.3
8592.0,47415.0,18.0,2022-09-17,19.0
8593.0,47415.0,18.0,2022-09-18,18.46
8594.0,47415.0,18.0,2022-09-19,20.22
8595.0,47415.0,18.0,2022-09-20,18.69
8596.0,47415.0,18.0,2022-09-21,20.06
8597.0,47415.0,18.0,2022-09-22,19.93
8598.0,47415.0,18.0,2022-09-23,19.1
8599.0,47415.0,18.0,2022-09-24,19.43
8600.0,47415.0,18.0,2022-09-25,18.13
8601.0,47415.0,18.0,2022-09-26,18.85
8602.0,47415.0,18.0,2022-09-27,20.27
8603.0,47415.0,18.0,2022-09-28,18.8
8604.0,47415.0,18.0,2022-09-29,18.91
8605.0,47415.0,18.0,2022-09-30,18.38
8607.0,47415.0,18.0,2022-10-01,18.41
8608.0,47415.0,18.0,2022-10-02,19.45
8609.0,47415.0,18.0,2022-10-03,18.97
8610.0,47415.0,18.0,2022-10-04,20.72
8611.0,47415.0,18.0,2022-10-05,19.95
8612.0,47415.0,18.0,2022-10-06,20.14
8613.0,47415.0,18.0,2022-10-07,20.44
8614.0,47415.0,18.0,2022-10-08,20.08
8615.0,47415.0,18.0,2022-10-09,19.32
8616.0,47415.0,18.0,2022-10-10,19.35
8617.0,47415.0,18.0,2022-10-11,19.95
8618.0,47415.0,18.0,2022-10-12,19.96
8619.0,47415.0,18.0,2022-10-13,19.76
8620.0,47415.0,18.0,2022-10-14,19.2
8621.0,47415.0,18.0,2022-10-15,19.1
8622.0,47415.0,18.0,2022-10-16,19.09
8623.0,47415.0,18.0,2022-10-17,22.15
8624.0,47415.0,18.0,2022-10-18,22.11
8625.0,47415.0,18.0,2022-10-19,19.69
8626.0,47415.0,18.0,2022-10-20,18.69
8627.0,47415.0,18.0,2022-10-21,19.05
8628.0,47415.0,18.0,2022-10-22,18.99
8629.0,47415.0,18.0,2022-10-23,18.47
8630.0,47415.0,18.0,2022-10-24,18.09
8631.0,47415.0,18.0,2022-10-25,17.4
8632.0,47415.0,18.0,2022-10-26,11.83
8633.0,47415.0,18.0,2022-10-27,17.5
8634.0,47415.0,18.0,2022-10-28,17.1
8635.0,47415.0,18.0,2022-10-29,17.4
8636.0,47415.0,18.0,2022-10-30,16.83
8637.0,47415.0,18.0,2022-10-31,16.5
8639.0,47415.0,18.0,2022-11-01,16.7
8640.0,47415.0,18.0,2022-11-02,16.5
8641.0,47415.0,18.0,2022-11-03,16.65
8642.0,47415.0,18.0,2022-11-04,18.83
8643.0,47415.0,18.0,2022-11-05,19.3
8644.0,47415.0,18.0,2022-11-06,17.33
8645.0,47415.0,18.0,2022-11-07,17.08
8646.0,47415.0,18.0,2022-11-08,17.45
8647.0,47415.0,18.0,2022-11-09,19.55
8648.0,47415.0,18.0,2022-11-10,19.51
8649.0,47415.0,18.0,2022-11-11,18.29
8650.0,47415.0,18.0,2022-11-12,19.3
8651.0,47415.0,18.0,2022-11-13,18.35
8652.0,47415.0,18.0,2022-11-14,18.68
8653.0,47415.0,18.0,2022-11-15,18.78
8654.0,47415.0,18.0,2022-11-16,19.55
8655.0,47415.0,18.0,2022-11-17,18.32
8656.0,47415.0,18.0,2022-11-18,19.0
8657.0,47415.0,18.0,2022-11-19,19.43
8658.0,47415.0,18.0,2022-11-20,18.04
8659.0,47415.0,18.0,2022-11-21,19.29
8660.0,47415.0,18.0,2022-11-22,20.3
8661.0,47415.0,18.0,2022-11-23,18.6
8662.0,47415.0,18.0,2022-11-24,18.6
8663.0,47415.0,18.0,2022-11-25,19.7
8664.0,47415.0,18.0,2022-11-26,19.15
8665.0,47415.0,18.0,2022-11-27,18.62
8666.0,47415.0,18.0,2022-11-28,15.55
8667.0,47415.0,18.0,2022-11-29,15.0
8668.0,47415.0,18.0,2022-11-30,14.67
8670.0,47415.0,18.0,2022-12-01,16.07
8671.0,47415.0,18.0,2022-12-02,15.42
8672.0,47415.0,18.0,2022-12-03,16.1
8673.0,47415.0,18.0,2022-12-04,15.55
8674.0,47415.0,18.0,2022-12-05,16.2
8675.0,47415.0,18.0,2022-12-06,18.1
8676.0,47415.0,18.0,2022-12-07,17.2
8677.0,47415.0,18.0,2022-12-08,20.16
8678.0,47415.0,18.0,2022-12-09,19.55
8679.0,47415.0,18.0,2022-12-10,19.87
8680.0,47415.0,18.0,2022-12-11,18.3
8681.0,47415.0,18.0,2022-12-12,18.2
8682.0,47415.0,18.0,2022-12-13,18.5
8683.0,47415.0,18.0,2022-12-14,17.5
8684.0,47415.0,18.0,2022-12-15,18.4
8685.0,47415.0,18.0,2022-12-16,18.32
8686.0,47415.0,18.0,2022-12-17,17.54
8687.0,47415.0,18.0,2022-12-18,17.25
8688.0,47415.0,18.0,2022-12-19,19.08
8689.0,47415.0,18.0,2022-12-20,19.27
8690.0,47415.0,18.0,2022-12-21,18.75
8691.0,47415.0,18.0,2022-12-22,18.47
8692.0,47415.0,18.0,2022-12-23,18.65
8693.0,47415.0,18.0,2022-12-24,18.8
8694.0,47415.0,18.0,2022-12-25,19.2
8695.0,47415.0,18.0,2022-12-26,19.05
8696.0,47415.0,18.0,2022-12-27,18.83
