id_waktu,id_lokasi,id_unit_peternakan,date,jumlah_produksi
8591,47346,18,2022-09-16,17.3
8592,47346,18,2022-09-17,19.0
8593,47346,18,2022-09-18,18.46
8594,47346,18,2022-09-19,20.22
8595,47346,18,2022-09-20,18.69
8596,47346,18,2022-09-21,20.06
8597,47346,18,2022-09-22,19.93
8598,47346,18,2022-09-23,19.1
8599,47346,18,2022-09-24,19.43
8600,47346,18,2022-09-25,18.13
8601,47346,18,2022-09-26,18.85
8602,47346,18,2022-09-27,20.27
8603,47346,18,2022-09-28,18.8
8604,47346,18,2022-09-29,18.91
8605,47346,18,2022-09-30,18.38
8607,47346,18,2022-10-01,18.41
8608,47346,18,2022-10-02,19.45
8609,47346,18,2022-10-03,18.97
8610,47346,18,2022-10-04,20.72
8611,47346,18,2022-10-05,19.95
8612,47346,18,2022-10-06,20.14
8613,47346,18,2022-10-07,20.44
8614,47346,18,2022-10-08,20.08
8615,47346,18,2022-10-09,19.32
8616,47346,18,2022-10-10,19.35
8617,47346,18,2022-10-11,19.95
8618,47346,18,2022-10-12,19.96
8619,47346,18,2022-10-13,19.76
8620,47346,18,2022-10-14,19.2
8621,47346,18,2022-10-15,19.1
8622,47346,18,2022-10-16,19.09
8623,47346,18,2022-10-17,22.15
8624,47346,18,2022-10-18,22.11
8625,47346,18,2022-10-19,19.69
8626,47346,18,2022-10-20,18.69
8627,47346,18,2022-10-21,19.05
8628,47346,18,2022-10-22,18.99
8629,47346,18,2022-10-23,18.47
8630,47346,18,2022-10-24,18.09
8631,47346,18,2022-10-25,17.4
8632,47346,18,2022-10-26,11.83
8633,47346,18,2022-10-27,0.0
8634,47346,18,2022-10-28,17.1
8635,47346,18,2022-10-29,17.4
8636,47346,18,2022-10-30,16.83
8637,47346,18,2022-10-31,16.5
8639,47346,18,2022-11-01,16.7
8640,47346,18,2022-11-02,16.5
8641,47346,18,2022-11-03,16.65
8642,47346,18,2022-11-04,18.83
8643,47346,18,2022-11-05,19.3
8644,47346,18,2022-11-06,17.33
8645,47346,18,2022-11-07,17.08
8646,47346,18,2022-11-08,17.45
8647,47346,18,2022-11-09,19.55
8648,47346,18,2022-11-10,19.51
8649,47346,18,2022-11-11,18.29
8650,47346,18,2022-11-12,19.3
8651,47346,18,2022-11-13,18.35
8652,47346,18,2022-11-14,18.68
8653,47346,18,2022-11-15,18.78
8654,47346,18,2022-11-16,19.55
8655,47346,18,2022-11-17,18.32
8656,47346,18,2022-11-18,19.0
8657,47346,18,2022-11-19,19.43
8658,47346,18,2022-11-20,18.04
8659,47346,18,2022-11-21,19.29
8660,47346,18,2022-11-22,20.3
8661,47346,18,2022-11-23,18.6
8662,47346,18,2022-11-24,18.6
8663,47346,18,2022-11-25,19.7
8664,47346,18,2022-11-26,19.15
8665,47346,18,2022-11-27,18.62
8666,47346,18,2022-11-28,15.55
8667,47346,18,2022-11-29,15.0
8668,47346,18,2022-11-30,14.67
8670,47346,18,2022-12-01,16.07
8671,47346,18,2022-12-02,15.42
8672,47346,18,2022-12-03,16.1
8673,47346,18,2022-12-04,15.55
8674,47346,18,2022-12-05,16.2
8675,47346,18,2022-12-06,18.1
8676,47346,18,2022-12-07,17.2
8677,47346,18,2022-12-08,20.16
8678,47346,18,2022-12-09,19.55
8679,47346,18,2022-12-10,19.87
8680,47346,18,2022-12-11,18.3
8681,47346,18,2022-12-12,18.2
8682,47346,18,2022-12-13,18.5
8683,47346,18,2022-12-14,17.5
8684,47346,18,2022-12-15,18.4
8685,47346,18,2022-12-16,18.32
8686,47346,18,2022-12-17,17.54
8687,47346,18,2022-12-18,17.25
8688,47346,18,2022-12-19,19.08
8689,47346,18,2022-12-20,19.27
8690,47346,18,2022-12-21,18.75
8691,47346,18,2022-12-22,18.47
8692,47346,18,2022-12-23,18.65
8693,47346,18,2022-12-24,18.8
8694,47346,18,2022-12-25,19.2
8695,47346,18,2022-12-26,19.05
8696,47346,18,2022-12-27,18.83
8697,47346,18,2022-12-28,19.44
8698,47346,18,2022-12-29,19.1
8699,47346,18,2022-12-30,18.19
8700,47346,18,2022-12-31,19.53
8703,47346,18,2023-01-01,18.61
8704,47346,18,2023-01-02,18.45
8705,47346,18,2023-01-03,18.58
8706,47346,18,2023-01-04,18.4
8707,47346,18,2023-01-05,17.98
8708,47346,18,2023-01-06,18.99
8709,47346,18,2023-01-07,19.18
8710,47346,18,2023-01-08,18.34
8711,47346,18,2023-01-09,17.74
8712,47346,18,2023-01-10,16.9
8713,47346,18,2023-01-11,16.7
8714,47346,18,2023-01-12,16.94
8715,47346,18,2023-01-13,16.93
8716,47346,18,2023-01-14,17.19
8717,47346,18,2023-01-15,16.93
8718,47346,18,2023-01-16,15.98
8719,47346,18,2023-01-17,15.5
8720,47346,18,2023-01-18,16.32
8721,47346,18,2023-01-19,16.4
8722,47346,18,2023-01-20,0.0
8723,47346,18,2023-01-21,0.0
8724,47346,18,2023-01-22,17.23
8725,47346,18,2023-01-23,17.86
8726,47346,18,2023-01-24,17.88
8727,47346,18,2023-01-25,17.7
8728,47346,18,2023-01-26,17.65
8729,47346,18,2023-01-27,17.45
8730,47346,18,2023-01-28,17.2
8731,47346,18,2023-01-29,17.0
8732,47346,18,2023-01-30,16.4
8733,47346,18,2023-01-31,17.57
8735,47346,18,2023-02-01,16.17
8736,47346,18,2023-02-02,17.11
8737,47346,18,2023-02-03,15.58
8738,47346,18,2023-02-04,15.49
8739,47346,18,2023-02-05,15.58
8740,47346,18,2023-02-06,15.2
8741,47346,18,2023-02-07,14.95
8742,47346,18,2023-02-08,14.65
8743,47346,18,2023-02-09,16.15
8744,47346,18,2023-02-10,16.11
8745,47346,18,2023-02-11,16.28
8746,47346,18,2023-02-12,15.5
8747,47346,18,2023-02-13,15.0
8748,47346,18,2023-02-14,14.4
8749,47346,18,2023-02-15,14.0
8750,47346,18,2023-02-16,14.4
8751,47346,18,2023-02-17,13.6
8752,47346,18,2023-02-18,13.48
8753,47346,18,2023-02-19,13.8
8754,47346,18,2023-02-20,13.75
8755,47346,18,2023-02-21,13.7
8756,47346,18,2023-02-22,14.45
8757,47346,18,2023-02-23,14.56
8758,47346,18,2023-02-24,14.81
8759,47346,18,2023-02-25,14.64
8760,47346,18,2023-02-26,14.08
8761,47346,18,2023-02-27,13.82
8762,47346,18,2023-02-28,12.8
8764,47346,18,2023-03-01,14.17
8765,47346,18,2023-03-02,14.13
8766,47346,18,2023-03-03,14.06
8767,47346,18,2023-03-04,13.96
8768,47346,18,2023-03-05,13.86
8769,47346,18,2023-03-06,13.83
8770,47346,18,2023-03-07,13.83
8771,47346,18,2023-03-08,13.98
8772,47346,18,2023-03-09,13.95
8773,47346,18,2023-03-10,13.92
8774,47346,18,2023-03-11,13.9
8775,47346,18,2023-03-12,13.9
8776,47346,18,2023-03-13,13.9
8777,47346,18,2023-03-14,13.91
8778,47346,18,2023-03-15,13.92
8779,47346,18,2023-03-16,13.91
8780,47346,18,2023-03-17,13.91
8781,47346,18,2023-03-18,13.91
8782,47346,18,2023-03-19,13.91
8783,47346,18,2023-03-20,13.91
8784,47346,18,2023-03-21,13.91
8785,47346,18,2023-03-22,13.91
8786,47346,18,2023-03-23,13.91
8787,47346,18,2023-03-24,13.91
8788,47346,18,2023-03-25,13.91
8789,47346,18,2023-03-26,13.91
8790,47346,18,2023-03-27,13.91
8791,47346,18,2023-03-28,13.91
8792,47346,18,2023-03-29,13.91
8793,47346,18,2023-03-30,13.91
8794,47346,18,2023-03-31,13.91
8796,47346,18,2023-04-01,13.91
8797,47346,18,2023-04-02,13.91
8798,47346,18,2023-04-03,13.91
8799,47346,18,2023-04-04,13.91
8800,47346,18,2023-04-05,13.91
8801,47346,18,2023-04-06,13.91
8802,47346,18,2023-04-07,13.91
8803,47346,18,2023-04-08,13.91
8804,47346,18,2023-04-09,13.91
8805,47346,18,2023-04-10,13.91
8806,47346,18,2023-04-11,13.91
8807,47346,18,2023-04-12,13.91
8808,47346,18,2023-04-13,13.91
8809,47346,18,2023-04-14,13.91
8810,47346,18,2023-04-15,13.91
8811,47346,18,2023-04-16,13.91
8812,47346,18,2023-04-17,13.91
8813,47346,18,2023-04-18,13.91
8814,47346,18,2023-04-19,13.91
8815,47346,18,2023-04-20,13.91
8816,47346,18,2023-04-21,13.91
8817,47346,18,2023-04-22,13.91
8818,47346,18,2023-04-23,13.91
8819,47346,18,2023-04-24,13.91
8820,47346,18,2023-04-25,13.91
8821,47346,18,2023-04-26,13.91
8822,47346,18,2023-04-27,13.91
8823,47346,18,2023-04-28,13.91
8824,47346,18,2023-04-29,13.91
8825,47346,18,2023-04-30,13.91
8827,47346,18,2023-05-01,13.91
8828,47346,18,2023-05-02,13.91
8829,47346,18,2023-05-03,13.91
8830,47346,18,2023-05-04,13.91
8831,47346,18,2023-05-05,13.91
8832,47346,18,2023-05-06,13.91
8833,47346,18,2023-05-07,13.91
8834,47346,18,2023-05-08,13.91
8835,47346,18,2023-05-09,13.91
8836,47346,18,2023-05-10,13.91
8837,47346,18,2023-05-11,13.91
8838,47346,18,2023-05-12,13.91
8839,47346,18,2023-05-13,13.91
8840,47346,18,2023-05-14,13.91
8841,47346,18,2023-05-15,13.91
8842,47346,18,2023-05-16,13.91
8843,47346,18,2023-05-17,13.91
8844,47346,18,2023-05-18,13.91
8845,47346,18,2023-05-19,13.91
8846,47346,18,2023-05-20,13.91
8847,47346,18,2023-05-21,13.91
8848,47346,18,2023-05-22,13.91
8849,47346,18,2023-05-23,13.91
8850,47346,18,2023-05-24,13.91
8851,47346,18,2023-05-25,13.91
8852,47346,18,2023-05-26,13.91
8853,47346,18,2023-05-27,13.91
8854,47346,18,2023-05-28,13.91
8855,47346,18,2023-05-29,13.91
8856,47346,18,2023-05-30,13.91
8857,47346,18,2023-05-31,13.91
8859,47346,18,2023-06-01,13.91
8860,47346,18,2023-06-02,13.91
8861,47346,18,2023-06-03,13.91
8862,47346,18,2023-06-04,13.91
8863,47346,18,2023-06-05,13.91
8864,47346,18,2023-06-06,13.91
8865,47346,18,2023-06-07,13.91
8866,47346,18,2023-06-08,13.91
8867,47346,18,2023-06-09,13.91
8868,47346,18,2023-06-10,13.91
8869,47346,18,2023-06-11,13.91
8870,47346,18,2023-06-12,200.0
8871,47346,18,2023-06-13,40.49
8872,47346,18,2023-06-14,44.29
8873,47346,18,2023-06-15,48.63
8874,47346,18,2023-06-16,11.4
8875,47346,18,2023-06-17,53.23
8876,47346,18,2023-06-18,58.85
8877,47346,18,2023-06-19,65.27
8878,47346,18,2023-06-20,46.02
8879,47346,18,2023-06-21,46.81
8880,47346,18,2023-06-22,47.17
8881,47346,18,2023-06-23,46.96
8882,47346,18,2023-06-24,52.04
8883,47346,18,2023-06-25,51.87
8884,47346,18,2023-06-26,50.88
8885,47346,18,2023-06-27,48.82
8886,47346,18,2023-06-28,49.22
8887,47346,18,2023-06-29,15.0
