id_waktu,id_lokasi,id_unit_peternakan,date,jumlah_produksi
8796,47415,11,2023-04-01,16.6
9088,47415,11,2024-01-08,15.35
8981,47415,11,2023-09-28,10.7
8578,47415,11,2022-09-03,14.85
9175,47415,11,2024-04-01,11.2
8600,47415,11,2022-09-25,14.85
8428,47415,11,2022-04-11,9.5
9297,47415,11,2024-07-29,12.0
8910,47415,11,2023-07-21,14.1
8516,47415,11,2022-07-05,9.3
8508,47415,11,2022-06-28,10.7
8535,47415,11,2022-07-24,14.0
8491,47415,11,2022-06-11,11.7
8473,47415,11,2022-05-25,14.55
8594,47415,11,2022-09-19,14.75
9138,47415,11,2024-02-26,15.35
9238,47415,11,2024-06-01,12.5
8566,47415,11,2022-08-23,13.0
9152,47415,11,2024-03-10,14.55
8725,47415,11,2023-01-23,13.65
9322,47415,11,2024-08-22,10.65
8951,47415,11,2023-08-30,13.55
8667,47415,11,2022-11-29,12.65
8859,47415,11,2023-06-01,8.95
8530,47415,11,2022-07-19,13.9
8793,47415,11,2023-03-30,17.55
8783,47415,11,2023-03-20,21.15
9063,47415,11,2023-12-16,11.7
8787,47415,11,2023-03-24,18.2
9340,47415,11,2024-09-08,12.9
8651,47415,11,2022-11-13,11.1
8579,47415,11,2022-09-04,14.4
9172,47415,11,2024-03-30,8.75
8499,47415,11,2022-06-19,10.05
9329,47415,11,2024-08-29,11.1
9281,47415,11,2024-07-13,15.05
8828,47415,11,2023-05-02,11.7
8865,47415,11,2023-06-07,12.9
8640,47415,11,2022-11-02,11.1
8834,47415,11,2023-05-08,11.25
9096,47415,11,2024-01-16,12.95
9106,47415,11,2024-01-26,22.5
8678,47415,11,2022-12-09,12.9
9247,47415,11,2024-06-10,13.7
9207,47415,11,2024-05-02,12.9
8662,47415,11,2022-11-24,12.05
9342,47415,11,2024-09-10,12.9
9028,47415,11,2023-11-12,11.45
9008,47415,11,2023-10-24,11.15
9053,47415,11,2023-12-06,11.4
8804,47415,11,2023-04-09,13.1
8918,47415,11,2023-07-29,13.8
8612,47415,11,2022-10-06,14.15
9253,47415,11,2024-06-16,14.0
8620,47415,11,2022-10-14,12.1
8809,47415,11,2023-04-14,11.75
8529,47415,11,2022-07-18,13.45
8528,47415,11,2022-07-17,12.9
8541,47415,11,2022-07-30,11.0
8849,47415,11,2023-05-23,9.65
8726,47415,11,2023-01-24,13.25
9168,47415,11,2024-03-26,11.8
9251,47415,11,2024-06-14,13.85
8829,47415,11,2023-05-03,11.45
8587,47415,11,2022-09-12,14.05
8534,47415,11,2022-07-23,14.05
8744,47415,11,2023-02-10,15.2
8731,47415,11,2023-01-29,12.95
9345,47415,11,2024-09-13,11.3
8929,47415,11,2023-08-08,14.65
8896,47415,11,2023-07-07,12.5
9292,47415,11,2024-07-24,13.95
9255,47415,11,2024-06-18,14.85
9277,47415,11,2024-07-09,15.0
8515,47415,11,2022-07-04,10.0
8991,47415,11,2023-10-07,13.6
8771,47415,11,2023-03-08,21.35
8931,47415,11,2023-08-10,14.75
8697,47415,11,2022-12-28,11.5
8698,47415,11,2022-12-29,11.4
9203,47415,11,2024-04-29,9.6
9337,47415,11,2024-09-05,11.1
8979,47415,11,2023-09-26,11.1
